frame,StageX,StageY,StageZ,StageR,StageT,WD,HorFieldsize,Dwell,HV,BeamCurrent,SpotSize,Date,Time,PixelWidth,PixelHeight,ResolutionX,ResolutionY,SystemType,Software,nm_per_px
MAR_H_AS_ETD_0007.tif,-0.0080265,0.0125542,0.0100001,-0.0508092,3.90252e-007,0.0100089,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,04:58:45 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_H_AS_ETD_0008.tif,-0.00754908,0.0126129,0.0100001,-0.0508092,3.90252e-007,0.0100003,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:01:00 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_H_AS_ETD_0009.tif,-0.00708542,0.0126332,0.0100001,-0.0508092,3.90252e-007,0.00999936,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:03:27 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_H_AS_ETD_0010.tif,-0.00641525,0.0136658,0.0100001,-3.31672e-007,3.90252e-007,0.00999998,0.001036,5e-006,30000,1.6e-009,,09/15/2026,03:43:54 PM,3.3724e-007,3.3724e-007,3072,2048,Apreo,13.9.1.6395,337.2396
MAR_H_HIP_CBS_0001.tif,-0.0195273,0.007919,0.01,-0.0384466,3.90252e-007,0.00999925,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,04:13:16 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_H_HIP_CBS_0002.tif,-0.0190592,0.00794767,0.01,-0.0384466,3.90252e-007,0.00999925,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,04:15:18 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_H_HIP_CBS_0003.tif,-0.0185873,0.00783767,0.01,-0.0384466,3.90252e-007,0.00999925,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,04:17:32 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_H_HIP_CBS_0004.tif,-0.0195285,0.00747833,0.01,-0.0384466,3.90252e-007,0.00999093,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,04:19:56 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_H_HIP_CBS_0005.tif,-0.0190598,0.00752033,0.01,-0.0384466,3.90252e-007,0.00999093,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,04:23:19 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_H_HIP_CBS_0006.tif,-0.0185924,0.0074375,0.01,-0.0384466,3.90252e-007,0.00999093,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,04:26:01 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
